Jul 10 00:49:10.837 INFO: manager: 2.0.1
Jul 10 00:49:10.837 INFO: manager: Copyright (C) 2003-2022, Noriaki Ando and OpenRTM development team,
Jul 10 00:49:10.837 INFO: manager:   Intelligent Systems Research Institute, AIST,
Jul 10 00:49:10.837 INFO: manager: Copyright (C) 2022, Noriaki Ando and OpenRTM development team,
Jul 10 00:49:10.837 INFO: manager:   Industrial Cyber-Physical Research Center, AIST,
Jul 10 00:49:10.837 INFO: manager:   All right reserved.
Jul 10 00:49:10.837 INFO: manager: Manager starting.
Jul 10 00:49:10.838 INFO: manager: Starting local logging.
Jul 10 00:49:10.882 INFO: NamingOnCorba: Endpoint for the CORBA naming service (localhost) is 127.0.0.1.
Jul 10 00:49:10.883 INFO: NamingManager: NameServer connection succeeded: corba/localhost
Jul 10 00:49:10.886 INFO: ManagerServant: Named manager reference (INS) was successfully created.
Jul 10 00:49:14.980 WARNING: ManagerServant: Master manager not found
Jul 10 00:49:14.980 INFO: LocalServiceAdmin: All the local services are enabled.
Jul 10 00:49:14.983 INFO: ec_base: setRate(1000000.000000) done
Jul 10 00:49:14.983 INFO: ec_base: setRate(1000.000000) done
Jul 10 00:49:14.983 INFO: cal_inverse_kinematics0: 1 execution context was created.
Jul 10 00:49:14.986 INFO: cal_inverse_kinematics0: Initial active configuration set is default.
Jul 10 00:49:29.098 INFO: ManagerServant: Master manager not found
Jul 10 00:49:39.129 INFO: ManagerServant: Master manager not found
Jul 10 00:49:49.160 INFO: ManagerServant: Master manager not found
Jul 10 00:49:59.192 INFO: ManagerServant: Master manager not found
Jul 10 00:50:09.193 INFO: ManagerServant: Master manager not found
Jul 10 00:50:19.306 INFO: ManagerServant: Master manager not found
Jul 10 00:50:29.417 INFO: ManagerServant: Master manager not found
Jul 10 00:50:39.547 INFO: ManagerServant: Master manager not found
Jul 10 00:50:49.552 INFO: ManagerServant: Master manager not found
Jul 10 00:50:59.678 INFO: ManagerServant: Master manager not found
Jul 10 00:51:09.659 INFO: ManagerServant: Master manager not found
Jul 10 00:51:19.782 INFO: ManagerServant: Master manager not found
Jul 10 00:51:29.800 INFO: ManagerServant: Master manager not found
Jul 10 00:51:39.813 INFO: ManagerServant: Master manager not found
Jul 10 00:51:49.784 INFO: ManagerServant: Master manager not found
Jul 10 00:51:59.785 INFO: ManagerServant: Master manager not found
Jul 10 00:52:09.819 INFO: ManagerServant: Master manager not found
Jul 10 00:52:19.840 INFO: ManagerServant: Master manager not found
Jul 10 00:52:29.974 INFO: ManagerServant: Master manager not found
Jul 10 00:52:39.978 INFO: ManagerServant: Master manager not found
Jul 10 00:52:49.940 INFO: ManagerServant: Master manager not found
Jul 10 00:53:00.064 INFO: ManagerServant: Master manager not found
Jul 10 00:53:10.043 INFO: ManagerServant: Master manager not found
Jul 10 00:53:20.125 INFO: ManagerServant: Master manager not found
Jul 10 00:53:30.206 INFO: ManagerServant: Master manager not found
Jul 10 00:53:40.324 INFO: ManagerServant: Master manager not found
Jul 10 00:53:50.325 INFO: ManagerServant: Master manager not found
Jul 10 00:54:00.444 INFO: ManagerServant: Master manager not found
Jul 10 00:54:10.456 INFO: ManagerServant: Master manager not found
Jul 10 00:54:20.462 INFO: ManagerServant: Master manager not found
Jul 10 00:54:30.507 INFO: ManagerServant: Master manager not found
Jul 10 00:54:40.495 INFO: ManagerServant: Master manager not found
Jul 10 00:54:50.461 INFO: ManagerServant: Master manager not found
Jul 10 00:55:00.533 INFO: ManagerServant: Master manager not found
Jul 10 00:55:10.655 INFO: ManagerServant: Master manager not found
Jul 10 00:55:20.671 INFO: ManagerServant: Master manager not found
Jul 10 00:55:30.684 INFO: ManagerServant: Master manager not found
Jul 10 00:55:40.794 INFO: ManagerServant: Master manager not found
Jul 10 00:55:50.752 INFO: ManagerServant: Master manager not found
Jul 10 00:56:00.842 INFO: ManagerServant: Master manager not found
Jul 10 00:56:10.943 INFO: ManagerServant: Master manager not found
Jul 10 00:56:20.958 INFO: ManagerServant: Master manager not found
Jul 10 00:56:30.964 INFO: ManagerServant: Master manager not found
Jul 10 00:56:40.936 INFO: ManagerServant: Master manager not found
Jul 10 00:56:50.927 INFO: ManagerServant: Master manager not found
Jul 10 00:57:00.942 INFO: ManagerServant: Master manager not found
Jul 10 00:57:10.994 INFO: ManagerServant: Master manager not found
Jul 10 00:57:20.992 INFO: ManagerServant: Master manager not found
Jul 10 00:57:30.999 INFO: ManagerServant: Master manager not found
Jul 10 00:57:41.099 INFO: ManagerServant: Master manager not found
Jul 10 00:57:51.285 INFO: ManagerServant: Master manager not found
Jul 10 00:58:01.253 INFO: ManagerServant: Master manager not found
Jul 10 00:58:11.363 INFO: ManagerServant: Master manager not found
