Jul 24 04:52:22.043 INFO: manager: 2.0.1
Jul 24 04:52:22.043 INFO: manager: Copyright (C) 2003-2022, Noriaki Ando and OpenRTM development team,
Jul 24 04:52:22.043 INFO: manager:   Intelligent Systems Research Institute, AIST,
Jul 24 04:52:22.044 INFO: manager: Copyright (C) 2022, Noriaki Ando and OpenRTM development team,
Jul 24 04:52:22.044 INFO: manager:   Industrial Cyber-Physical Research Center, AIST,
Jul 24 04:52:22.044 INFO: manager:   All right reserved.
Jul 24 04:52:22.044 INFO: manager: Manager starting.
Jul 24 04:52:22.044 INFO: manager: Starting local logging.
Jul 24 04:52:22.069 INFO: NamingOnCorba: Endpoint for the CORBA naming service (localhost) is 127.0.0.1.
Jul 24 04:52:22.069 INFO: NamingManager: NameServer connection succeeded: corba/localhost
Jul 24 04:52:22.080 INFO: ManagerServant: Named manager reference (INS) was successfully created.
Jul 24 04:52:26.175 WARNING: ManagerServant: Master manager not found
Jul 24 04:52:26.177 INFO: LocalServiceAdmin: All the local services are enabled.
Jul 24 04:52:26.494 INFO: ec_base: setRate(1000000.000000) done
Jul 24 04:52:26.494 INFO: ec_base: setRate(1000.000000) done
Jul 24 04:52:26.495 INFO: RealSense_RGBD_Camera0: 1 execution context was created.
Jul 24 04:52:26.505 INFO: RealSense_RGBD_Camera0: Initial active configuration set is default.
Jul 24 04:52:40.723 INFO: ManagerServant: Master manager not found
Jul 24 04:52:50.788 INFO: ManagerServant: Master manager not found
Jul 24 04:53:00.838 INFO: ManagerServant: Master manager not found
Jul 24 04:53:10.891 INFO: ManagerServant: Master manager not found
Jul 24 04:53:20.962 INFO: ManagerServant: Master manager not found
Jul 24 04:53:31.030 INFO: ManagerServant: Master manager not found
Jul 24 04:53:34.346 WARNING: SdoServiceAdmin: No available SDO service in the factory: 
Jul 24 04:53:41.066 INFO: ManagerServant: Master manager not found
Jul 24 04:53:51.134 INFO: ManagerServant: Master manager not found
Jul 24 04:54:01.185 INFO: ManagerServant: Master manager not found
Jul 24 04:54:11.257 INFO: ManagerServant: Master manager not found
Jul 24 04:54:21.304 INFO: ManagerServant: Master manager not found
Jul 24 04:54:31.338 INFO: ManagerServant: Master manager not found
Jul 24 04:54:41.387 INFO: ManagerServant: Master manager not found
Jul 24 04:54:51.425 INFO: ManagerServant: Master manager not found
Jul 24 04:55:01.458 INFO: ManagerServant: Master manager not found
Jul 24 04:55:11.502 INFO: ManagerServant: Master manager not found
Jul 24 04:55:21.541 INFO: ManagerServant: Master manager not found
Jul 24 04:55:31.568 INFO: ManagerServant: Master manager not found
Jul 24 04:55:41.601 INFO: ManagerServant: Master manager not found
Jul 24 04:55:51.635 INFO: ManagerServant: Master manager not found
Jul 24 04:56:01.685 INFO: ManagerServant: Master manager not found
Jul 24 04:56:11.741 INFO: ManagerServant: Master manager not found
Jul 24 04:56:21.789 INFO: ManagerServant: Master manager not found
Jul 24 04:56:31.802 INFO: ManagerServant: Master manager not found
