Jul 24 07:32:34.132 INFO: manager: 2.0.1
Jul 24 07:32:34.132 INFO: manager: Copyright (C) 2003-2022, Noriaki Ando and OpenRTM development team,
Jul 24 07:32:34.132 INFO: manager:   Intelligent Systems Research Institute, AIST,
Jul 24 07:32:34.132 INFO: manager: Copyright (C) 2022, Noriaki Ando and OpenRTM development team,
Jul 24 07:32:34.133 INFO: manager:   Industrial Cyber-Physical Research Center, AIST,
Jul 24 07:32:34.133 INFO: manager:   All right reserved.
Jul 24 07:32:34.133 INFO: manager: Manager starting.
Jul 24 07:32:34.133 INFO: manager: Starting local logging.
Jul 24 07:32:34.186 INFO: NamingOnCorba: Endpoint for the CORBA naming service (localhost) is 127.0.0.1.
Jul 24 07:32:34.187 INFO: NamingManager: NameServer connection succeeded: corba/localhost
Jul 24 07:32:34.228 INFO: ManagerServant: Named manager reference (INS) was successfully created.
Jul 24 07:32:38.354 WARNING: ManagerServant: Master manager not found
Jul 24 07:32:38.359 INFO: LocalServiceAdmin: All the local services are enabled.
Jul 24 07:32:38.386 INFO: ec_base: setRate(1000000.000000) done
Jul 24 07:32:38.387 INFO: ec_base: setRate(1000.000000) done
Jul 24 07:32:38.389 INFO: FloatSeqToVelocity0: 1 execution context was created.
Jul 24 07:32:38.398 INFO: FloatSeqToVelocity0: Initial active configuration set is default.
Jul 24 07:32:52.619 INFO: ManagerServant: Master manager not found
Jul 24 07:33:03.200 INFO: ManagerServant: Master manager not found
Jul 24 07:33:12.744 INFO: ManagerServant: Master manager not found
Jul 24 07:33:22.829 INFO: ManagerServant: Master manager not found
Jul 24 07:33:32.927 INFO: ManagerServant: Master manager not found
Jul 24 07:33:35.160 INFO: ec_base: setRate(1000.000000) done
Jul 24 07:33:42.937 INFO: ManagerServant: Master manager not found
Jul 24 07:33:53.031 INFO: ManagerServant: Master manager not found
Jul 24 07:34:03.107 INFO: ManagerServant: Master manager not found
Jul 24 07:34:13.181 INFO: ManagerServant: Master manager not found
Jul 24 07:34:23.271 INFO: ManagerServant: Master manager not found
Jul 24 07:34:33.316 INFO: ManagerServant: Master manager not found
Jul 24 07:34:43.391 INFO: ManagerServant: Master manager not found
Jul 24 07:34:53.490 INFO: ManagerServant: Master manager not found
Jul 24 07:35:03.534 INFO: ManagerServant: Master manager not found
Jul 24 07:35:13.609 INFO: ManagerServant: Master manager not found
Jul 24 07:35:23.673 INFO: ManagerServant: Master manager not found
Jul 24 07:35:33.759 INFO: ManagerServant: Master manager not found
Jul 24 07:35:43.824 INFO: ManagerServant: Master manager not found
Jul 24 07:35:53.877 INFO: ManagerServant: Master manager not found
Jul 24 07:36:03.922 INFO: ManagerServant: Master manager not found
Jul 24 07:36:14.015 INFO: ManagerServant: Master manager not found
Jul 24 07:36:24.093 INFO: ManagerServant: Master manager not found
Jul 24 07:36:34.195 INFO: ManagerServant: Master manager not found
Jul 24 07:36:44.276 INFO: ManagerServant: Master manager not found
Jul 24 07:36:54.376 INFO: ManagerServant: Master manager not found
Jul 24 07:37:04.390 INFO: ManagerServant: Master manager not found
Jul 24 07:37:14.476 INFO: ManagerServant: Master manager not found
Jul 24 07:37:24.550 INFO: ManagerServant: Master manager not found
